Zaman,Enlem,Boylam,Kategori
1678939620,38.3852,27.2016,Az
1678939680,38.4491,27.1976,Orta
1678939740,38.4341,27.2286,Az
1678939800,38.3939,27.2286,Cok
1678939860,38.3804,27.232,Cok
1678939920,38.4371,27.2348,Az
1678939980,38.4295,27.2107,Az
1678940040,38.431,27.2101,Orta
1678940100,38.434,27.2279,Cok
1678940160,38.3852,27.219,Cok
1678940220,38.4051,27.2221,Az
1678940280,38.3881,27.2277,Orta
1678940340,38.4404,27.2334,Cok
1678940400,38.4236,27.2003,Cok
1678940460,38.4032,27.2025,Orta
1678940520,38.3844,27.1856,Orta
1678940580,38.4018,27.2147,Cok
1678940640,38.4028,27.1822,Cok
1678940700,38.4311,27.2079,Orta
1678940760,38.4246,27.2126,Cok
1678940820,38.4421,27.1972,Az
1678940880,38.4131,27.2154,Az
1678940940,38.3884,27.1818,Orta
1678941000,38.4299,27.1822,Orta
1678941060,38.4333,27.2294,Orta
1678941120,38.4193,27.2016,Az
1678941180,38.434,27.1876,Cok
1678941240,38.4146,27.2113,Az
1678941300,38.4166,27.2262,Cok
1678941360,38.4099,27.1929,Az
1678941420,38.3818,27.2174,Cok
1678941480,38.3876,27.1851,Az
1678941540,38.3822,27.1831,Orta
1678941600,38.4245,27.2119,Az
1678941660,38.402,27.2124,Cok
1678941720,38.4156,27.2182,Az
1678941780,38.4435,27.2236,Az
1678941840,38.3975,27.2386,Az
1678941900,38.4087,27.211,Orta
1678941960,38.4329,27.1994,Az
1678942020,38.396,27.2277,Orta
1678942080,38.3854,27.1962,Orta
1678942140,38.4003,27.2063,Az
1678942200,38.3913,27.1847,Az
1678942260,38.4451,27.1815,Az
1678942320,38.4366,27.2378,Cok
1678942380,38.4243,27.2302,Az
1678942440,38.441,27.2218,Orta
1678942500,38.4363,27.2045,Az
1678942560,38.3931,27.1904,Cok
1678942620,38.4425,27.1894,Az
1678942680,38.4178,27.195,Cok
1678942740,38.4365,27.213,Cok
1678942800,38.4427,27.2229,Az
1678942860,38.4023,27.2196,Orta
1678942920,38.3877,27.1968,Cok
1678942980,38.396,27.2373,Az
1678943040,38.4099,27.2243,Az
1678943100,38.4373,27.2133,Orta
1678943160,38.4403,27.2167,Cok
1678943220,38.3805,27.2052,Cok
1678943280,38.4158,27.1949,Az
1678943340,38.4092,27.2014,Az
1678943400,38.3955,27.2255,Orta
1678943460,38.3884,27.1809,Orta
1678943520,38.4036,27.187,Cok
1678943580,38.446,27.1828,Cok
1678943640,38.4026,27.1824,Az
1678943700,38.4163,27.2313,Cok
1678943760,38.4292,27.2222,Orta
1678943820,38.4055,27.2085,Orta
1678943880,38.448,27.1859,Az
1678943940,38.4474,27.2095,Orta
1678944000,38.3976,27.2084,Orta
1678944060,38.4148,27.1904,Orta
1678944120,38.4011,27.206,Orta
1678944180,38.3999,27.2039,Az
1678944240,38.3826,27.217,Az
1678944300,38.4227,27.2181,Cok
1678944360,38.4152,27.1827,Orta
1678944420,38.3836,27.2025,Cok
1678944480,38.3995,27.2176,Az
1678944540,38.4436,27.2102,Az
1678944600,38.3968,27.2314,Az
1678944660,38.3901,27.2195,Az
1678944720,38.4143,27.1898,Az
1678944780,38.449,27.1842,Az
1678944840,38.3969,27.2185,Az
1678944900,38.427,27.1816,Orta
1678944960,38.4333,27.2151,Cok
1678945020,38.3966,27.2364,Az
1678945080,38.431,27.2145,Orta
1678945140,38.4057,27.2033,Orta
1678945200,38.4243,27.2186,Cok
1678945260,38.4243,27.2075,Az
1678945320,38.4175,27.2127,Cok
1678945380,38.3863,27.2365,Az
1678945440,38.4385,27.2032,Orta
1678945500,38.4025,27.2377,Orta
1678945560,38.3931,27.2343,Orta
1678945620,38.3829,27.1917,Orta
1678945680,38.4214,27.1842,Cok
1678945740,38.4274,27.186,Az
1678945800,38.3812,27.1811,Az
1678945860,38.4158,27.1857,Cok
1678945920,38.3959,27.221,Az
1678945980,38.4252,27.1843,Orta
1678946040,38.3922,27.1991,Az
1678946100,38.4284,27.2307,Orta
1678946160,38.4071,27.1814,Cok
1678946220,38.4456,27.2289,Az
1678946280,38.3896,27.1969,Cok
1678946340,38.4039,27.1871,Az
1678946400,38.3879,27.2218,Orta
1678946460,38.4447,27.2177,Cok
1678946520,38.4414,27.2326,Az
1678946580,38.3981,27.2241,Orta
1678946640,38.4262,27.2282,Cok
1678946700,38.4372,27.1969,Cok
1678946760,38.4189,27.1906,Az
1678946820,38.4171,27.225,Az
1678946880,38.3969,27.2284,Az
1678946940,38.3865,27.2394,Orta
1678947000,38.4428,27.2048,Az
1678947060,38.443,27.2023,Cok
1678947120,38.4243,27.2266,Cok
1678947180,38.4037,27.2004,Az
1678947240,38.4044,27.2358,Az
1678947300,38.4308,27.2315,Cok
1678947360,38.4428,27.2057,Orta
1678947420,38.4421,27.2251,Az
1678947480,38.4346,27.2253,Az
